0,1
트리오드,"카페,디저트"
클로리스 코엑스몰점,홍차전문점
뉴욕라츠오베이글스,베이글
당옥,"카페,디저트"
런던 베이글 뮤지엄 도산점,베이커리
올드페리도넛 가로수길점,도넛
마일스톤 커피,카페
수플레 팬케이크 소과당 본점,"카페,디저트"
LOWIDE 압구정,"카페,디저트"
이웃집통통이 로데오점,"카페,디저트"
애니오케이션 카페,"카페,디저트"
이디야커피랩,카페
플디 도산점,"카페,디저트"
포스톤즈 삼성본점,"카페,디저트"
까치화방 강남역점,테마카페
하이테이블 차병원사거리점,"카페,디저트"
프론트서울,카페
샌드커피 논탄토 신사,카페
아이엠씨,카페
스크렘,"카페,디저트"
수목금토 카페,"카페,디저트"
랜디스도넛 가로수길점,도넛
서울북카페 욕망의북카페,북카페
젠틀커피,카페
웰컴투유토피아,"카페,디저트"
아우어베이커리 도산본점,베이커리
타우너스 에스프레소 바 역삼점,"카페,디저트"
프롬헤라스 도산 플래그십 스토어,"카페,디저트"
버터핑거팬케익스 청담점,베이커리
오더에스프레소,"카페,디저트"
베이커베이커,배달
더플랫 로스터스,"카페,디저트"
배스킨라빈스 파르나스몰점,아이스크림
엔커피스튜디오,"카페,디저트"
빵빠르,베이커리
카페온화 강남점,카페
106길 15,카페
커피스니퍼 센터필드점,"카페,디저트"
카페드리옹 코엑스점,카페
강남커피 강남점,"카페,디저트"
더스노우 논현점,배달
카페몬지 압구정본점,"카페,디저트"
나따오비까 대치점,"카페,디저트"
퓨버티,"카페,디저트"
퍼지타운,"카페,디저트"
꼼다비뛰드,베이커리
소운빙 한티역점,빙수
로찌커피 논현점,"카페,디저트"
은곡빵집,베이커리
바티랑트,베이커리
스타벅스 압구정로데오역점,카페
도너츠윤 압구정점,도넛
스타벅스 압구정역점,카페
스타벅스 대치재경빌딩R점,카페
로네펠트티하우스 코엑스점,"카페,디저트"
산노루 삼성점,"카페,디저트"
미엘,테마카페
카멜커피 현대백화점 무역센터점,"카페,디저트"
커피루소 청담,카페
이코복스커피 스튜디오 신사점,카페
스타벅스 압구정로데오역점,카페
